InvoieNo,tokoe,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
559521,20869,GOLD FABRIC MIRROR,13,2011-08-07,0.39,16311,USA
559521,22621,TRADITIONAL KNITTING NANCY,10,2011-08-07,1.65,16311,USA
559521,21156,RETROSPOT CHILDRENS APRON,6,2011-08-07,1.95,16311,USA
559521,84548,CROCHET BEAR RED/BLUE  KEYRING,7,2011-08-07,1.65,16311,USA
559521,23007, SPACEBOY BABY GIFT SET,1,2011-08-07,16.95,16311,USA
559521,22759,SET OF 3 NOTEBOOKS IN PARCEL,8,2011-08-07,1.65,16311,USA
559521,20819,SILVER TEDDY BEAR,1,2011-08-07,3.75,16311,USA
559521,22196,SMALL HEART MEASURING SPOONS,1,2011-08-07,0.85,16311,USA
559521,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,2011-08-07,1.25,16311,USA
559521,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,2011-08-07,0.55,16311,USA
559521,22317,FIVE CATS HANGING DECORATION,1,2011-08-07,2.95,16311,USA
559521,22548,HEADS AND TAILS SPORTING FUN,6,2011-08-07,1.25,16311,USA
559521,21790,VINTAGE SNAP CARDS,8,2011-08-07,0.85,16311,USA
559521,21915,RED  HARMONICA IN BOX ,12,2011-08-07,1.25,16311,USA
559521,22437,SET OF 9 BLACK SKULL BALLOONS,2,2011-08-07,0.85,16311,USA
559521,20985,HEART CALCULATOR,12,2011-08-07,1.25,16311,USA
559521,22555,PLASTERS IN TIN STRONGMAN,6,2011-08-07,1.65,16311,USA
559521,21126,SET OF 6 GIRLS CELEBRATION CANDLES,5,2011-08-07,1.25,16311,USA
559521,22435,SET OF 9 HEART SHAPED BALLOONS,2,2011-08-07,1.25,16311,USA
559521,22553,PLASTERS IN TIN SKULLS,7,2011-08-07,1.65,16311,USA
559521,22434,BALLOON PUMP WITH 10 BALLOONS,6,2011-08-07,1.95,16311,USA
559521,22439,6 ROCKET BALLOONS ,40,2011-08-07,0.65,16311,USA
559521,21888,BINGO SET,4,2011-08-07,3.75,16311,USA
559521,23240,SET OF 4 KNICK KNACK TINS DOILEY ,3,2011-08-07,4.15,16311,USA
559521,21889,WOODEN BOX OF DOMINOES,7,2011-08-07,1.25,16311,USA
559521,22129,PARTY CONES CANDY TREE DECORATION,6,2011-08-07,0.85,16311,USA
559521,22128,PARTY CONES CANDY ASSORTED,6,2011-08-07,1.25,16311,USA
559521,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-08-07,2.1,16311,USA
559521,23242,TREASURE TIN BUFFALO BILL ,1,2011-08-07,2.08,16311,USA
559521,21055,TOOL BOX SOFT TOY ,1,2011-08-07,8.95,16311,USA
559521,23128,FELTCRAFT BOY JEAN-PAUL KIT,1,2011-08-07,4.95,16311,USA
559521,23241,TREASURE TIN GYMKHANA DESIGN,1,2011-08-07,2.08,16311,USA
559521,20868,SILVER FABRIC MIRROR,13,2011-08-07,0.39,16311,USA
559521,22150,3 STRIPEY MICE FELTCRAFT,1,2011-08-07,1.95,16311,USA
559521,22620,4 TRADITIONAL SPINNING TOPS,5,2011-08-07,1.45,16311,USA
559521,21892,TRADITIONAL WOODEN CATCH CUP GAME ,8,2011-08-07,1.25,16311,USA
559521,20750,RED RETROSPOT MINI CASES,2,2011-08-07,7.95,16311,USA
559521,20749,ASSORTED COLOUR MINI CASES,2,2011-08-07,7.95,16311,USA
559521,21891,TRADITIONAL WOODEN SKIPPING ROPE,9,2011-08-07,1.45,16311,USA
559521,21056,DOCTORS BAG SOFT TOY,1,2011-08-07,8.95,16311,USA
559521,22196,SMALL HEART MEASURING SPOONS,7,2011-08-07,0.85,16311,USA
559521,21124,SET/10 BLUE POLKADOT PARTY CANDLES,7,2011-08-07,1.25,16311,USA
559521,21125,SET 6 FOOTBALL CELEBRATION CANDLES,6,2011-08-07,1.25,16311,USA
559521,22467,GUMBALL COAT RACK,6,2011-08-07,2.55,16311,USA
559521,22899,CHILDRENS APRON DOLLY GIRL ,6,2011-08-07,2.1,16311,USA
559521,20725,LUNCH BAG RED RETROSPOT,7,2011-08-07,1.65,16311,USA
559521,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-08-07,0.29,16311,USA
559521,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-08-07,1.65,16311,USA
559521,20727,LUNCH BAG  BLACK SKULL.,8,2011-08-07,1.65,16311,USA
559521,22262,FELT EGG COSY CHICKEN,1,2011-08-07,0.85,16311,USA
559521,22260,FELT EGG COSY BLUE RABBIT ,1,2011-08-07,0.85,16311,USA
559521,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-08-07,1.65,16311,USA
559521,22911,PAPER CHAIN KIT LONDON,1,2011-08-07,2.95,16311,USA
559521,22085,PAPER CHAIN KIT SKULLS ,1,2011-08-07,2.95,16311,USA
559521,22276,WASH BAG VINTAGE ROSE PAISLEY,1,2011-08-07,2.55,16311,USA
559521,22570,FELTCRAFT CUSHION RABBIT,1,2011-08-07,3.75,16311,USA
559521,22083,PAPER CHAIN KIT RETROSPOT,1,2011-08-07,2.95,16311,USA
559521,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-08-07,1.25,16311,USA
559521,22197,POPCORN HOLDER,3,2011-08-07,0.85,16311,USA
559929,22960,JAM MAKING SET WITH JARS,6,2011-07-14,4.25,14265,USA
559929,16161,WRAP ENGLISH ROSE ,25,2011-07-14,0.42,14265,USA
559929,21499,BLUE POLKADOT WRAP,25,2011-07-14,0.42,14265,USA
559929,21500,PINK POLKADOT WRAP ,25,2011-07-14,0.42,14265,USA
559929,21503,TOYBOX  WRAP ,25,2011-07-14,0.42,14265,USA
559929,22047,EMPIRE GIFT WRAP,25,2011-07-14,0.42,14265,USA
559929,22051,BLUE SCANDINAVIAN PAISLEY WRAP,25,2011-07-14,0.42,14265,USA
559929,22050,PINK PAISLEY ROSE GIFT WRAP,25,2011-07-14,0.42,14265,USA
559929,22709,WRAP WEDDING DAY,25,2011-07-14,0.42,14265,USA
559929,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-07-14,12.75,14265,USA
559929,40001,WHITE BAMBOO RIBS LAMPSHADE,24,2011-07-14,0.85,14265,USA
559929,21628,TRIANGULAR POUFFE VINTAGE ,2,2011-07-14,14.95,14265,USA
559929,46000,POLYESTER FILLER PAD 40x40cm,18,2011-07-14,1.45,14265,USA
559929,46000,POLYESTER FILLER PAD 45x45cm,18,2011-07-14,1.55,14265,USA
559929,22423,REGENCY CAKESTAND 3 TIER,1,2011-07-14,12.75,14265,USA
561658,47563,RETRO LONGBOARD IRONING BOARD COVER,1,2011-07-28,1.25,12743,USA
561658,23124,18PC WOODEN CUTLERY SET DISPOSABLE,1,2011-07-28,1.25,12743,USA
561658,47574,ENGLISH ROSE SCENTED HANGING FLOWER,1,2011-07-28,0.75,12743,USA
561658,35968,FOLK ART METAL HEART T-LIGHT HOLDER,5,2011-07-28,0.38,12743,USA
561658,84559,3D SHEET OF DOG STICKERS,1,2011-07-28,0.85,12743,USA
561658,21586,KINGS CHOICE GIANT TUBE MATCHES,1,2011-07-28,2.55,12743,USA
561658,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-07-28,2.95,12743,USA
561658,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,1,2011-07-28,1.45,12743,USA
561658,23210,WHITE ROCKING HORSE HAND PAINTED,1,2011-07-28,1.25,12743,USA
561658,22449,SILK PURSE BABUSHKA PINK,1,2011-07-28,3.35,12743,USA
561658,20886,BOX OF 9 PEBBLE CANDLES,1,2011-07-28,1.95,12743,USA
561658,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-07-28,1.69,12743,USA
561658,21588,RETROSPOT GIANT TUBE MATCHES,1,2011-07-28,2.55,12743,USA
561658,47599,BLUE PARTY BAGS ,1,2011-07-28,2.1,12743,USA
561658,22846,BREAD BIN DINER STYLE RED ,1,2011-07-28,16.95,12743,USA
561658,23336,EGG FRYING PAN PINK ,1,2011-07-28,2.08,12743,USA
561658,23338,EGG FRYING PAN RED ,1,2011-07-28,2.08,12743,USA
561658,23339,EGG FRYING PAN BLUE ,1,2011-07-28,2.08,12743,USA
561658,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,2011-07-28,2.08,12743,USA
561658,20679,EDWARDIAN PARASOL RED,1,2011-07-28,5.95,12743,USA
561658,22046,TEA PARTY  WRAPPING PAPER ,25,2011-07-28,0.42,12743,USA
561658,23546,WRAP PAISLEY PARK ,25,2011-07-28,0.42,12743,USA
561658,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2011-07-28,2.55,12743,USA
561658,21002,ROSE DU SUD DRAWSTRING BAG,2,2011-07-28,4.25,12743,USA
561658,85212,MINI PAINTED GARDEN DECORATION ,12,2011-07-28,0.29,12743,USA
561658,21770,OPEN CLOSED METAL SIGN,1,2011-07-28,4.95,12743,USA
561658,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-07-28,8.5,12743,USA
561658,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2011-07-28,2.55,12743,USA
561658,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2011-07-28,3.75,12743,USA
561658,84050,PINK HEART SHAPE EGG FRYING PAN,1,2011-07-28,1.65,12743,USA
561658,84813,SET OF 4 DIAMOND NAPKIN RINGS,1,2011-07-28,12.75,12743,USA
561658,23079,TOADSTOOL BEDSIDE LIGHT ,1,2011-07-28,8.95,12743,USA
561658,23014,GLASS APOTHECARY BOTTLE ELIXIR,1,2011-07-28,3.95,12743,USA
561658,85213,MINI  ZINC GARDEN DECORATIONS ,12,2011-07-28,0.29,12743,USA
561658,23068,ALUMINIUM STAMPED HEART,4,2011-07-28,2.49,12743,USA
561658,22139,RETROSPOT TEA SET CERAMIC 11 PC ,2,2011-07-28,4.95,12743,USA
561658,84912,GREEN ROSE WASHBAG,1,2011-07-28,3.75,12743,USA
561658,22727,ALARM CLOCK BAKELIKE RED ,1,2011-07-28,3.75,12743,USA
561658,84559,3D SHEET OF CAT STICKERS,1,2011-07-28,0.85,12743,USA
561658,84549,CROCHET WHITE RABBIT KEYRING ,1,2011-07-28,1.65,12743,USA
561658,22840,ROUND CAKE TIN VINTAGE RED,1,2011-07-28,7.95,12743,USA
561658,22604,SET OF 4 NAPKIN CHARMS CUTLERY,2,2011-07-28,2.55,12743,USA
561658,22902,TOTE BAG I LOVE LONDON,1,2011-07-28,2.1,12743,USA
561658,21065,BOOM BOX SPEAKER GIRLS,1,2011-07-28,5.95,12743,USA
561658,84012,MAGIC SHEEP WOOL GROWING FROM PAPER,1,2011-07-28,2.55,12743,USA
561658,47559,TEA TIME OVEN GLOVE,1,2011-07-28,1.25,12743,USA
561658,82600,NO SINGING METAL SIGN,1,2011-07-28,2.1,12743,USA
561658,21592,RETROSPOT CIGAR BOX MATCHES ,1,2011-07-28,1.25,12743,USA
561658,21591,COSY HOUR CIGAR BOX MATCHES ,1,2011-07-28,1.25,12743,USA
561658,22585,PACK OF 6 BIRDY GIFT TAGS,1,2011-07-28,1.25,12743,USA
561658,23055,IVORY CHANDELIER T-LIGHT HOLDER,1,2011-07-28,6.25,12743,USA
561658,23083,SET 6 PAPER TABLE LANTERN STARS ,1,2011-07-28,3.75,12743,USA
561658,23082,SET 6 PAPER TABLE LANTERN HEARTS ,1,2011-07-28,3.75,12743,USA
561658,16012,FOOD/DRINK SPONGE STICKERS,24,2011-07-28,0.21,12743,USA
561658,22732,3D VINTAGE CHRISTMAS STICKERS ,1,2011-07-28,1.25,12743,USA
561658,22733,3D TRADITIONAL CHRISTMAS STICKERS,2,2011-07-28,1.25,12743,USA
561658,22320,BIRDS MOBILE VINTAGE DESIGN,1,2011-07-28,5.95,12743,USA
561658,21843,RED RETROSPOT CAKE STAND,1,2011-07-28,10.95,12743,USA
561658,22423,REGENCY CAKESTAND 3 TIER,1,2011-07-28,12.75,12743,USA
561658,20712,JUMBO BAG WOODLAND ANIMALS,1,2011-07-28,2.08,12743,USA
561658,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-07-28,2.08,12743,USA
561658,85172,HYACINTH BULB T-LIGHT CANDLES,16,2011-07-28,0.42,12743,USA
561658,23284,DOORMAT KEEP CALM AND COME IN,1,2011-07-28,7.95,12743,USA
561658,23202,JUMBO BAG VINTAGE LEAF,1,2011-07-28,2.08,12743,USA
561658,47599,PINK PARTY BAGS,1,2011-07-28,2.1,12743,USA
561658,23211,RED ROCKING HORSE HAND PAINTED,1,2011-07-28,1.25,12743,USA
561658,22150,3 STRIPEY MICE FELTCRAFT,1,2011-07-28,1.95,12743,USA
561658,47348,FUSCHIA VOILE POINTY SHOE DEC,1,2011-07-28,0.39,12743,USA
561658,22580,ADVENT CALENDAR GINGHAM SACK,1,2011-07-28,5.95,12743,USA
561658,22834,HAND WARMER BABUSHKA DESIGN,1,2011-07-28,2.1,12743,USA
561658,22325,MOBILE VINTAGE HEARTS ,1,2011-07-28,4.95,12743,USA
561658,23183,MOTHERS KITCHEN SPOON REST ,1,2011-07-28,3.75,12743,USA
561658,22701,PINK DOG BOWL,1,2011-07-28,2.95,12743,USA
561658,22703,PINK CAT BOWL,1,2011-07-28,2.1,12743,USA
561658,23108,SET OF 10 LED DOLLY LIGHTS,1,2011-07-28,6.25,12743,USA
561658,22900,SET 2 TEA TOWELS I LOVE LONDON ,1,2011-07-28,3.25,12743,USA
561658,21064,BOOM BOX SPEAKER BOYS,1,2011-07-28,5.95,12743,USA
561658,22450,SILK PURSE BABUSHKA BLUE,1,2011-07-28,3.35,12743,USA
561658,84836,ZINC METAL HEART DECORATION,2,2011-07-28,1.25,12743,USA
561658,22700,BLACK AND WHITE DOG BOWL,1,2011-07-28,2.95,12743,USA
561658,22625,RED KITCHEN SCALES,1,2011-07-28,8.5,12743,USA
561658,23012,GLASS APOTHECARY BOTTLE PERFUME,1,2011-07-28,3.95,12743,USA
561658,79302,"ART LIGHTS,FUNK MONKEY",1,2011-07-28,2.95,12743,USA
561661,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-07-28,8.5,12743,USA
561661,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-07-28,1.69,12743,USA
561661,84821,DANISH ROSE DELUXE COASTER,1,2011-07-28,0.85,12743,USA
561661,79063,"RETRO PILL BOX KEY CHAIN,THE KING",1,2011-07-28,0.19,12743,USA
561661,21931,JUMBO STORAGE BAG SUKI,1,2011-07-28,2.08,12743,USA
561661,22924,FRIDGE MAGNETS LA VIE EN ROSE,6,2011-07-28,0.85,12743,USA
561661,22289,HANGING METAL CHICKEN DECORATION,2,2011-07-28,1.25,12743,USA
561661,22288,HANGING METAL RABBIT DECORATION,2,2011-07-28,1.25,12743,USA
561661,22291,HANGING CHICK CREAM DECORATION,1,2011-07-28,1.45,12743,USA
561661,84459,PINK METAL CHICKEN HEART ,2,2011-07-28,1.49,12743,USA
561661,22834,HAND WARMER BABUSHKA DESIGN,1,2011-07-28,2.1,12743,USA
561661,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,2011-07-28,2.08,12743,USA
561661,23158,SET OF 5 LUCKY CAT MAGNETS ,1,2011-07-28,2.08,12743,USA
561661,23335,EGG FRYING PAN IVORY ,1,2011-07-28,2.08,12743,USA
561661,23339,EGG FRYING PAN BLUE ,1,2011-07-28,2.08,12743,USA
561661,22437,SET OF 9 BLACK SKULL BALLOONS,10,2011-07-28,0.85,12743,USA
561661,22288,HANGING METAL RABBIT DECORATION,5,2011-07-28,1.25,12743,USA
561661,22289,HANGING METAL CHICKEN DECORATION,2,2011-07-28,1.25,12743,USA
561661,23208,LUNCH BAG VINTAGE LEAF DESIGN,1,2011-07-28,1.65,12743,USA
561661,21260,FIRST AID TIN,1,2011-07-28,3.25,12743,USA
561661,21637,ASSORTED SANSKRIT MINI NOTEBOOK,18,2011-07-28,1.25,12743,USA
561661,23108,SET OF 10 LED DOLLY LIGHTS,1,2011-07-28,6.25,12743,USA
561661,85049,TRADITIONAL CHRISTMAS RIBBONS,1,2011-07-28,1.25,12743,USA
561661,20679,EDWARDIAN PARASOL RED,1,2011-07-28,5.95,12743,USA
561661,23210,WHITE ROCKING HORSE HAND PAINTED,1,2011-07-28,1.25,12743,USA
561661,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2011-07-28,1.65,12743,USA
561661,85180,RED HEARTS LIGHT CHAIN ,2,2011-07-28,4.65,12743,USA
561661,85179,GREEN BITTY LIGHT CHAIN,1,2011-07-28,4.65,12743,USA
561661,23079,TOADSTOOL BEDSIDE LIGHT ,1,2011-07-28,8.95,12743,USA
561661,22396,MAGNETS PACK OF 4 RETRO PHOTO,1,2011-07-28,0.39,12743,USA
561661,21591,COSY HOUR CIGAR BOX MATCHES ,1,2011-07-28,1.25,12743,USA
561661,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2011-07-28,2.55,12743,USA
